país,data,nome,tipo
afghanistan,15 de Fev,Liberation Day,Public Holiday
afghanistan,20 de Mar,March Equinox,Season
afghanistan,21 de Mar,Nauruz,Observance
afghanistan,2 de Abr,First Day of Ramadan,Public Holiday
afghanistan,28 de Abr,Afghan Victory Day,Public Holiday
afghanistan,1 de Mai,Eid al-Fitr,Public Holiday
afghanistan,1 de Mai,Labor Day,Public Holiday
afghanistan,2 de Mai,Eid al-Fitr Holiday,Public Holiday
afghanistan,3 de Mai,Eid al-Fitr Holiday,Public Holiday
afghanistan,21 de Jun,June Solstice,Season
afghanistan,8 de Jul,Day of Arafat,Public Holiday
afghanistan,9 de Jul,Eid al-Qurban,Public Holiday
afghanistan,10 de Jul,Eid al-Qurban Holiday,Public Holiday
afghanistan,11 de Jul,Eid al-Qurban Holiday,Public Holiday
afghanistan,8 de Ago,Ashura (Tentative Date),Public Holiday
afghanistan,15 de Ago,First Anniversary of Taliban Rule,Public Holiday
afghanistan,19 de Ago,Independence Day (National Day),Public Holiday
afghanistan,31 de Ago,First Anniversary of the Withdrawal of Foreign Troops,Public Holiday
afghanistan,9 de Set,Martyrs and Ahmad Shah Masoud Day,Public Holiday
afghanistan,23 de Set,September Equinox,Season
afghanistan,8 de Out,The Prophet's Birthday,Public Holiday
afghanistan,22 de Dez,December Solstice,Season
albania,1 de Jan,New Year's Day,National holiday
albania,2 de Jan,New Year's Day (Day 2),National holiday
albania,3 de Jan,Day off for New Year's Day,National holiday
albania,3 de Jan,Day off for New Year's Day (Day 2),National holiday
albania,14 de Fev,Valentine's Day,Observance
albania,8 de Mar,Mothers' Day,Observance
albania,14 de Mar,Summer Day,National holiday
albania,20 de Mar,March Equinox,Season
albania,21 de Mar,Public Holiday,National holiday
albania,22 de Mar,Nevruz Day,National holiday
albania,27 de Mar,Daylight Saving Time starts,Clock change/Daylight Saving Time
albania,15 de Abr,Good Friday,Observance
albania,16 de Abr,Holy Saturday,Observance
albania,17 de Abr,Easter Sunday,National holiday
albania,18 de Abr,Day off for Easter Sunday,National holiday
albania,18 de Abr,Easter Monday,Observance
albania,22 de Abr,Good Friday (Orthodox),"Observance, Orthodox"
