País,Feriados total,Feriados folga,idh_rank,idh,expec_vida,Expected years of schooling,Mean years of schooling,GNI_percapita
afghanistan,22,17,180,0.478,62.0,10.264,2.985,1824.2
albania,39,21,67,0.796,76.5,14.448,11.286,14131.1
algeria,16,12,91,0.745,76.4,14.627,8.069,10800.2
andorra,29,14,40,0.858,80.4,13.3,10.555,51166.6
angola,18,14,148,0.586,61.6,12.172,5.417,5465.6
antigua-and-barbuda,18,13,71,0.788,78.5,14.185,9.294,16792.4
argentina,45,22,47,0.842,75.4,17.875,11.147,20925.3
armenia,44,12,85,0.759,72.0,13.117,11.33,13158.0
australia,120,43,5,0.951,84.5,21.055,12.727,49238.4
austria,38,19,25,0.916,81.6,16.008,12.257,53618.7
azerbaijan,34,26,91,0.745,69.4,13.497,10.543,14256.7
bahamas,28,14,55,0.812,71.6,12.899,12.642,30486.2
bahrain,22,18,35,0.875,78.8,16.298,11.047,39497.2
bangladesh,66,22,129,0.661,72.4,12.442,7.379,5472.1
barbados,27,15,70,0.79,77.6,15.713,9.853,12306.3
belarus,34,13,60,0.808,72.4,15.17,12.144,18849.0
belgium,34,17,13,0.937,81.9,19.604,12.376,52293.4
belize,20,16,123,0.683,70.5,12.992,8.848,6309.1
benin,23,14,166,0.525,59.8,10.767,4.305,3409.0
bhutan,26,18,127,0.666,71.8,13.225,5.17,9437.5
botswana,24,18,117,0.693,61.1,12.265,10.34,16198.3
brazil,29,16,87,0.754,72.8,15.599,8.129,14369.9
bulgaria,30,18,68,0.795,71.8,13.897,11.413,23079.0
burkina-faso,22,18,184,0.449,59.3,9.142,2.115,2117.9
burundi,20,16,187,0.426,61.7,10.723,3.129,731.8
cambodia,25,20,146,0.593,69.6,11.468,5.088,4078.7
cameroon,18,12,151,0.576,60.3,13.109,6.151,3620.9
canada,134,0,15,0.936,82.7,16.396,13.834,46808.0
central-african-republic,18,14,188,0.404,53.9,8.04,4.334,966.1
chad,18,12,190,0.394,52.5,8.036,2.574,1364.2
chile,26,18,42,0.855,78.9,16.731,10.935,24563.2
china,56,31,79,0.768,78.2,14.236,7.6,17504.4
colombia,45,18,88,0.752,72.8,14.443,8.863,14384.4
costa-rica,28,11,58,0.809,77.0,16.546,8.804,19974.3
croatia,38,14,40,0.858,77.6,15.112,12.191,30132.3
cuba,24,12,83,0.764,73.7,14.443,12.498,7878.8
cyprus,25,14,29,0.896,81.2,15.648,12.44,38188.4
denmark,30,11,6,0.948,81.4,18.715,12.96,60364.8
djibouti,16,12,171,0.509,62.3,7.433,4.1,5025.0
dominica,19,14,102,0.72,72.8,13.319,8.142,11487.6
dominican-republic,24,13,80,0.767,72.6,14.467,9.307,17989.6
ecuador,28,13,95,0.74,73.7,14.624,8.817,10311.6
egypt,34,24,97,0.731,70.2,13.786,9.573,11731.7
el-salvador,28,11,125,0.675,70.7,12.671,7.151,8295.7
eritrea,20,16,176,0.492,66.5,8.065,4.887,1728.7
estonia,29,12,31,0.89,77.1,15.929,13.548,38048.3
ethiopia,17,13,175,0.498,65.0,9.651,3.202,2361.1
fiji,19,14,99,0.73,67.1,14.737,10.922,9980.1
finland,23,11,11,0.94,82.0,19.052,12.874,49452.2
france,25,11,28,0.903,82.5,15.812,11.61,45937.1
gabon,20,14,112,0.706,65.8,12.977,9.436,13366.9
gambia,24,19,174,0.5,62.1,9.419,4.637,2172.2
georgia,32,24,63,0.802,71.7,15.569,12.822,14664.2
germany,108,10,9,0.942,80.6,17.01,14.091,54534.2
ghana,29,17,133,0.632,63.8,12.048,8.33,5744.5
greece,27,8,33,0.887,80.1,20.029,11.409,29002.5
grenada,23,16,68,0.795,74.9,18.662,9.032,13483.6
guatemala,22,11,135,0.627,69.2,10.562,5.681,8723.3
guinea,18,14,182,0.465,58.9,9.805,2.202,2480.9
guinea-bissau,15,11,177,0.483,59.7,10.613,3.584,1908.2
guyana,23,19,108,0.714,65.7,12.503,8.617,22464.7
haiti,25,0,163,0.535,63.2,9.7,5.554,2847.5
honduras,24,11,137,0.621,70.1,10.133,7.088,5298.0
hungary,26,13,46,0.846,74.5,15.034,12.25,32789.0
iceland,28,16,3,0.959,82.7,19.163,13.767,55782.0
india,77,0,132,0.633,67.2,11.875,6.655,6590.0
indonesia,35,16,114,0.705,67.6,13.749,8.557,11466.1
iraq,34,21,121,0.686,70.4,12.087,7.906,9977.2
ireland,21,11,8,0.945,82.0,18.945,11.582,76169.0
